"index","associated_dis","associated_dis2","country_name","dis_subtype","dis_type","disaster_no","end_date","insur_dam","iso","location","start_date","total_affected","total_dam","total_deaths"
172,"--","--","Philippines","Tropical cyclone","Storm","1994-0074","02/08/1994","0","PHL","Pampanga, Zambales, Metro Manila (Luzon)","02/08/1994","14000","0","11"
173,"--","--","Philippines","Tropical cyclone","Storm","1994-0215","10/09/1994","0","PHL","Papoay, San Nicolas, Pasuquin municipalities (locos Norte province), Cagayan province","10/09/1994","54674","3900","7"
174,"--","--","Philippines","Tropical cyclone","Storm","1994-0313","15/07/1994","0","PHL","Pinatubo, Luzon","15/07/1994","0","1700","39"
175,"Flood","--","Philippines","Tropical cyclone","Storm","1994-0519","22/10/1994","0","PHL","Arora, Quezon, Laguna, Batangas, Rizal, Cavite, Bulacan, Bataan, Oriental Mindoro, Occidental Mindoro provinces (Luzon)","18/10/1994","258751","67400","32"
176,"Flood","Broken Dam/Burst ban","Philippines","Tropical cyclone","Storm","1994-0594","23/12/1994","0","PHL","Leyte, Cebu Isl., Surigao, Luzon, Iloilo, Bacolod","19/12/1994","867923","26813","49"
177,"--","--","Philippines","Tropical cyclone","Storm","1994-0756","07/07/1994","0","PHL","Kalinga-Apayao province","07/07/1994","5300","0","3"
178,"--","--","Philippines","Tropical cyclone","Storm","1995-0187","28/08/1995","0","PHL","Regions I, II, III, IV, V, Metro Manilla","28/08/1995","195886","0","6"
179,"Slide (land, mud, sn","Flood","Philippines","--","Storm","1995-0199","04/09/1995","0","PHL","Pampanga, Sultan Kudarat provinces","04/09/1995","19655","394","20"
180,"Flood","Slide (land, mud, sn","Philippines","Tropical cyclone","Storm","1995-0247","26/10/1995","0","PHL","Pampanga, Pangasinan, Bulacan, Laguna, Marinduque, Quezon, Barangas, Cavite, Albay, Antique, Cebu, Leyte, Siquijor, Bukidnon provinces and National Capital region","09/10/1995","864437","38100","184"
181,"--","--","Philippines","Tropical cyclone","Storm","1995-0271","03/11/1995","0","PHL","Luzon, Visayas, Calauag","03/11/1995","1599588","244000","882"
